area,district,info,price,title
58.46,东城,[东城]崇文门新景家园西区｜58.46㎡｜1室1厅1厨1卫｜南,98357,崇文门新景家园西区南1室
93.74,海淀,[海淀]上地枫润家园｜93.74㎡｜2室1厅1厨1卫｜南北,86409,新 不临街大两居 带电梯 满五年  保养好 位置安静
213.76,海淀,[海淀]西二旗领秀新硅谷｜213.76㎡｜4室2厅1厨3卫｜南北,69236,领秀新硅谷A区 中叠拼 带50平地下室 采光充足
179,海淀,[海淀]世纪城远大园四区｜179㎡｜4室2厅1厨2卫｜南西,86592,通透四居，双明卫，欢迎实地品鉴
297,海淀,[海淀]清河橡树湾｜297㎡｜5室2厅1厨3卫｜东南北,97643,橡树湾五期 正规五居室 高楼层 前后无遮挡，一梯一户
102,海淀,[海淀]西二旗怡美家园｜102㎡｜2室1厅1厨2卫｜南北,70588,靠谱双卫大两居 南北双通透户型 接受换房 随时看原房
129,海淀,[海淀]西二旗上第MOMA｜129㎡｜3室1厅1厨2卫｜西东,63565,带露台，做三居，自住已换房，价格空间大，满五年，不临街
139.32,海淀,[海淀]西二旗当代城市家园｜139.32㎡｜3室2厅1厨2卫｜南北,71777,南北通透，三面采光，主卧带明卫，一梯两户，餐客分离，落地窗
207,海淀,[海淀]世纪城鲁艺上河村｜207㎡｜3室2厅1厨2卫｜南北,106280,高层观景，视野开阔，交通便利，大面宽采光好
212,海淀,[海淀]世纪城远大园五区｜212㎡｜4室2厅1厨2卫｜南北,107547,！世纪城+远大园五区+大厅双卧南+中高层
95,昌平,[昌平]回龙观云趣园三区｜95㎡｜2室1厅1厨1卫｜南北,48421,回龙观云趣园三区南北2室
149.84,海淀,[海淀]上地上地佳园｜149.84㎡｜3室2厅1厨2卫｜西南北,90096,上地佳园不临街大三居 南北通透 餐客分离 有储藏间 有车库
223.43,朝阳,[朝阳]酒仙桥阳光上东｜223.43㎡｜3室2厅1厨3卫｜南北,76086,方街组团 3面采光 带明卫 2梯2户 正规3居室
292.93,顺义,[顺义]中央别墅区龙湾别墅｜292.93㎡｜4室2厅1厨3卫｜东西南北,52913,龙湾独栋别墅 功能分区 房本清晰 采光好 花园120平
115,丰台,[丰台]方庄首开璞瑅｜115㎡｜3室2厅1厨2卫｜南,100000,客厅 3卧室朝南，明厨明卫，客厅大，两梯三户，不临街人车分流
102.18,海淀,[海淀]安宁庄上林溪｜102.18㎡｜2室2厅1厨2卫｜南北,80250,三区电梯板楼，一梯两户，南北通透，全明格局，大门不对卫生间
104,海淀,[海淀]五棵松塞纳维拉永定华庭｜104㎡｜3室2厅1厨2卫｜南北,91346,2012年次新小区 欧式园林建筑风 位置安静宜居
69.38,海淀,[海淀]上地颐泉汇｜69.38㎡｜2室1厅1厨2卫｜南北,69184,北京颐泉汇 上下两层使用面积大 南北通透 装修保养好
597.4,顺义,[顺义]后沙峪中粮祥云国际生活区｜597.4㎡｜5室3厅1厨6卫｜东西南北,33478,装修很好 业主低价出售 6米挑空花园 南北通透 采光充足
139,东城,[东城]广渠门丽水湾畔家园｜139㎡｜3室1厅1厨2卫｜南北,80503,丽水湾畔+南北三居+东花市旁+商品社区人车分流+文汇
79.79,海淀,[海淀]五棵松塞纳维拉永定华庭｜79.79㎡｜2室1厅1厨1卫｜东北,82717,临五棵松，中高层观景两居室，2012年小区 内部人车分流
119,朝阳,[朝阳]望京望京花园东区｜119㎡｜3室2厅1厨2卫｜南西,70588,望京望京花园东区南西3室
164.21,海淀,[海淀]四季青玫瑰御园｜164.21㎡｜3室2厅1厨2卫｜南北,106570,玫瑰御园 南北三居室 明厨明卫 餐厨一体 客厅双卧朝南
222.38,海淀,[海淀]世纪城鲁艺上河村｜222.38㎡｜4室2厅1厨2卫｜南北,129508,鲁艺上河村+不临街+带花园+车位
140.32,通州,[通州]果园雅丽世居｜140.32㎡｜3室2厅1厨2卫｜西南北,41120,果园雅丽世居西南北3室
51.27,通州,[通州]果园雅丽世居｜51.27㎡｜1室1厅1厨1卫｜南,50711,果园雅丽世居南1室
133.97,海淀,[海淀]世纪城翠叠园｜133.97㎡｜3室2厅1厨2卫｜南北,123161,翠叠园，安静不临街，三卧朝南，高层观景，装修好，带车位
56.08,东城,[东城]崇文门崇文门东大街｜56.08㎡｜2室1厅1厨1卫｜南,99857,崇文门东大街全南向小两居室，中间楼层无遮挡，满五年在京一套房
107,海淀,[海淀]万柳阳春光华枫树园｜107㎡｜2室2厅1厨2卫｜东南,116822,明厨明卫 双卧室朝南 户型方正 观小区银杏大道 人文社区
143.6,海淀,[海淀]万柳万泉新新家园｜143.6㎡｜3室2厅1厨2卫｜南北,146239,位置安静 带有车位 家庭一套 保养不错 双入户
161.95,海淀,[海淀]清河橡树湾｜161.95㎡｜3室2厅1厨2卫｜南北,87557,橡树湾三区 中高楼层 开发商统一装修交房 南北通透 目前空置
159.2,海淀,[海淀]清河橡树湾｜159.2㎡｜3室2厅1厨2卫｜南北,92964,空置未住 高层北排不临街 开发商统一装修 满五年 保养好
108,海淀,[海淀]安宁庄上林溪｜108㎡｜2室2厅1厨2卫｜南北,75925,三区电梯板楼，一梯三户，中楼层，南北通透，全明格局双卫
141.65,海淀,[海淀]西二旗锦顺佳园｜141.65㎡｜3室2厅1厨2卫｜南北,79774,一层带40平花园 客厅 三卧室朝南 南北通透带双阳台
193.96,西城,[西城]陶然亭朱雀门｜193.96㎡｜3室2厅1厨2卫｜东南北,147453,朱雀门 高层观景 东南北 三面采光 附带阳光房 南向主卫
140.09,海淀,[海淀]上地颐泉汇｜140.09㎡｜3室2厅1厨2卫｜南北,74951,房本140.09套内260平 统一装修保养不错 观景楼层
151,海淀,[海淀]万柳光大花园｜151㎡｜3室2厅1厨2卫｜西南,104635,楼层适中+有玄关+拐角阳台四面采光+采光视野无遮挡
141.83,海淀,[海淀]西二旗当代城市家园｜141.83㎡｜3室2厅1厨2卫｜南北,65571,当代城市家园 南北通透大三居 中楼层 采光视野好
201.82,朝阳,[朝阳]奥林匹克公园澳林春天六期｜201.82㎡｜3室2厅1厨3卫｜南北,93152,6层板楼带电梯 装修保持好 釆光无遮挡 大尺寸落地窗阳台
152.8,朝阳,[朝阳]望京慧谷阳光｜152.8㎡｜3室2厅1厨2卫｜南北,81806,慧谷阳光 不临街三居室 前观水系后看花园， 南北通透大面宽
330,朝阳,[朝阳]朝青星河湾｜330㎡｜3室2厅1厨3卫｜南北,89363,星河湾三期 保养如新330平 主卧落地八角窗 纵观整个园区
118.45,朝阳,[朝阳]朝青润枫水尚｜118.45㎡｜2室2厅1厨2卫｜南北,80202,润枫水尚东区 南北通透 落地窗 二次装修 高层
201,海淀,[海淀]紫竹桥美林花园｜201㎡｜3室1厅1厨2卫｜南西,87064,西三环，美林花园，高层观景，南向三居，明厨明卫
184.98,朝阳,[朝阳]朝青润枫水尚｜184.98㎡｜3室2厅1厨2卫｜南北,74602,润枫水尚南北大3居 东区中间位置 装修好 正看小区花园
190.43,朝阳,[朝阳]望京东湖湾二期｜190.43㎡｜3室2厅1厨3卫｜南北,93997,东湖湾2期【临河三居】前后不临街/双卧客厅南/客餐厅分离通透
124.8,海淀,[海淀]世纪城晴雪园｜124.8㎡｜3室2厅1厨2卫｜南北,116185,明厨双明卫，双卧朝南，户型方正，临地铁、临金源
286.01,海淀,[海淀]万柳万泉新新家园｜286.01㎡｜5室2厅1厨3卫｜南北,122373,南北复式+客厅挑高6米+阁楼+车位+储物间+万泉新新家园
111.48,海淀,[海淀]田村大苑海淀名著｜111.48㎡｜3室2厅1厨2卫｜南北,94187,海淀名著 14年楼盘，双卧南，保养如新，人车分流 餐厨一体
137.76,大兴,[大兴]旧宫宣颐家园｜137.76㎡｜3室1厅1厨2卫｜南北,61628,宣颐家园  白楼墙院三居室  东边户  明厨明卫采光好
146.19,大兴,[大兴]亦庄大雄城市花园｜146.19㎡｜3室1厅1厨2卫｜南北,46514,大雄城市花园 三面采光 保养好 安静享受生活
106.52,朝阳,[朝阳]望京嘉美风尚中心｜106.52㎡｜2室2厅1厨1卫｜南北,74164,嘉美通透二居 07年社区 物业管理服务好  入者宁静出者繁荣
128.38,朝阳,[朝阳]朝青国美第一城｜128.38㎡｜3室2厅1厨2卫｜东西,55304,国美 东西向三居室 高层 观景房
130.4,昌平,[昌平]回龙观流星花园三区｜130.4㎡｜3室1厅1厨2卫｜南北,48236,中式装修 采光视野好 位置安静 不临街 带电梯 双卧朝南
69,丰台,[丰台]方庄紫芳园三区｜69㎡｜1室1厅1厨1卫｜北,72463,户型方正 安静 环境优美 楼层好 保养好 方庄站 配套齐
60,石景山,[石景山]鲁谷远洋山水南区｜60㎡｜1室1厅1厨1卫｜西,65000,远洋山水南区+不临街+户型方正+直观花园+鸟语花香
110.86,石景山,[石景山]鲁谷远洋山水南区｜110.86㎡｜2室1厅1厨1卫｜南北,65848,远洋南区，高层不临街，南北大两居，两梯四户，2008年社区
130.77,通州,[通州]九棵树K2玉兰湾｜130.77㎡｜3室2厅1厨2卫｜南北,67293,地暖房+九棵树+南北通透三居室+高楼层+前后花园+成熟商圈
313.56,朝阳,[朝阳]亚运村紫玉山庄｜313.56㎡｜6室2厅1厨5卫｜南北,79729,客厅挑高6米，实际可达450㎡，正南正北，带阳光房，带车库
91.41,朝阳,[朝阳]奥林匹克公园上林世家｜91.41㎡｜2室1厅1厨1卫｜南北,101739,上林世家+12年新社区+人车分流+南北通透+一梯一户
143.58,海淀,[海淀]西二旗怡美家园｜143.58㎡｜3室2厅1厨1卫｜南北,66861,二期直通地下车库，四居室，15年新装修，南北通透，可聊价格
98.19,朝阳,[朝阳]亚运村保利金泉广场｜98.19㎡｜2室2厅1卫｜东,80048,东向看花园，车位充足，带大阳台，光线好，居家装修
131.65,朝阳,[朝阳]亚运村九台2000家园｜131.65㎡｜3室1厅1厨2卫｜东北,63045,东向跃层观景大三居+明厨明卫+观景无挡+落地飘窗+双卫设计
126.15,海淀,[海淀]清河橡树湾｜126.15㎡｜3室2厅1厨2卫｜南北,91954,可改四居+可给换房期+不临街+10平花厅不算面积
89,朝阳,[朝阳]太阳宫太阳公元｜89㎡｜2室1厅1厨1卫｜南,130337,太阳公元南向两居，中高层，业主二次装修，有车位，位置安静
83.05,东城,[东城]东花市本家润园｜83.05㎡｜2室1厅1厨1卫｜北西,108368,高层西北2居 8平米通体阳台 独立客餐厅 视野好 采光充足
110,东城,[东城]东花市花市枣苑｜110㎡｜2室2厅1厨2卫｜东,99090,东南全明格局+双卫带明卫+自主设计装修+给换房时间
88.88,海淀,[海淀]北部新区保利西山林语｜88.88㎡｜2室1厅1厨1卫｜南北,59630,二期 直通车库 南北双通透 装修好  客厅带阳台 采光好
187.06,朝阳,[朝阳]亚运村华悦国际公寓｜187.06㎡｜3室2厅1厨2卫｜南北,84464,华悦国际后排高层观景三居室 前后不临街
156.02,朝阳,[朝阳]望京星源国际｜156.02㎡｜3室2厅1厨2卫｜南北,61530,南北通透 白家庄 地铁望京站 全屋新风系统 带车位 全天采光
163,朝阳,[朝阳]亚运村小营远洋万和城B区｜163㎡｜3室2厅1厨2卫｜西南北,91963,远洋万和城3居室，南北通透，前后对花园，有两个车位
153,西城,[西城]广安门丽水莲花2号院｜153㎡｜3室1厅1厨2卫｜东西南北,80392,丽水信保 南北三居 满五年 直观莲花河 152平米
109.73,西城,[西城]宣武门四合上院｜109.73㎡｜2室1厅1厨1卫｜东西,118290,四合上院，高层东西两居室，高楼层，采光好，视野好
127,海淀,[海淀]世纪城翠叠园｜127㎡｜2室2厅1厨2卫｜南北,114173,金源商圈 次顶层 南北双通透 园区人车分流 南向正观花园
309,朝阳,[朝阳]朝青星河湾｜309㎡｜3室2厅1厨3卫｜南北,79288,星河湾一期正对泳池户型 南北通透3居+独立书房
126.64,海淀,[海淀]上地上地佳园｜126.64㎡｜3室2厅1厨2卫｜南,91598,热乎房源 高楼层观景 不临街 三卧室朝南 满五年
144.42,东城,[东城]广渠门冠城名敦道B区｜144.42㎡｜2室2厅1厨1卫｜南北,100401,冠城名敦道、南北两居室、客厅主卧朝南、有50平花园
207.22,海淀,[海淀]世纪城垂虹园｜207.22㎡｜4室2厅1厨2卫｜南北,86864,高层+通透四居室+双储藏间+西南+采光好+金源地铁
171.98,大兴,[大兴]亦庄浉城百丽｜171.98㎡｜3室2厅1厨3卫｜南北,61053,浉城百丽，下叠户型方正，花园70平，纯毛坯，位置安静
208,海淀,[海淀]世纪城垂虹园｜208㎡｜4室2厅1厨2卫｜南,86538,垂虹园通透四居+客厅主卧朝东南+明厨明卫+餐客厅分离
165,海淀,[海淀]世纪城观山园｜165㎡｜3室2厅1厨2卫｜南北,112121,南北通透+双卧朝南+靠近10号线+花园社区
93.68,西城,[西城]陶然亭中信锦园｜93.68㎡｜2室2厅1厨1卫｜南北,152647,西城区 二环内 陶然亭 中信锦园 南北双通透 中层 满五年
145,海淀,[海淀]西二旗上第MOMA｜145㎡｜3室2厅1厨2卫｜南北,67586,恒温恒湿全人车分流科技住宅 15年新装保养好 清河高铁小米旁
87.67,朝阳,[朝阳]双井首城国际B区｜87.67㎡｜2室1厅1厨1卫｜南,93304,高层全南 纯板楼采光足 两梯四户安静 文明小区
147.02,大兴,[大兴]旧宫云龙家园｜147.02㎡｜3室2厅1厨2卫｜南北,40810,旧宫 云龙家园  正规四居室 电梯中楼层  不临街
152,西城,[西城]宣武门四合上院｜152㎡｜3室2厅1厨2卫｜南北,161184,四合上院南北三居室 新装齐全干净卫生 采光无遮挡
116.47,朝阳,[朝阳]望京金隅丽港城｜116.47㎡｜3室2厅1厨2卫｜南北,94444,一层带花园，三居，卧室客厅朝南，次卧室朝东
180.07,朝阳,[朝阳]亚运村小营远洋万和城A区｜180.07㎡｜4室2厅1厨3卫｜南北,99850,万和城高层正规四居室，全明格局，南北通透，装修保持好
165,海淀,[海淀]世纪城观山园｜165㎡｜3室2厅1厨2卫｜南北,112121,南北通透+双卧朝南+靠近10号线+花园社区
163.6,海淀,[海淀]世纪城垂虹园｜163.6㎡｜3室2厅1厨2卫｜南西,97799,世纪城 垂虹园 明厨明卫 三卧南 带储藏间
429.2,朝阳,[朝阳]亚运村小营亚运新新家园朗月园｜429.2㎡｜5室2厅1厨4卫｜南北,66402,亚运新新家园   紫玉山庄、鸿华高尔夫球场旁、环境好
146.48,大兴,[大兴]旧宫美利新世界｜146.48㎡｜3室2厅1厨2卫｜南北,37889,美利新世界  顶层带阁楼  四居室 业主自住  保养好
133,朝阳,[朝阳]望京上京新航线｜133㎡｜3室2厅1厨1卫｜南北,87218,上京302号楼 客厅180度圆弧窗 三卧分离 南北通透
77.33,朝阳,[朝阳]亚运村保利金泉广场｜77.33㎡｜1室1厅1厨1卫｜南,89227,保利金泉全南向一居室 户型方正  高层 带阳台
70.7,海淀,[海淀]马连洼菊花盛苑｜70.7㎡｜1室1厅1厨1卫｜南北,70579,低楼层，三面采光，南北通透，满五年，电梯房
93.74,海淀,[海淀]上地枫润家园｜93.74㎡｜2室1厅1厨1卫｜南北,86409,新 不临街大两居 带电梯 满五年  保养好 位置安静
89,朝阳,[朝阳]太阳宫太阳公元｜89㎡｜2室1厅1厨1卫｜南,130337,太阳公元南向两居，中高层，业主二次装修，有车位，位置安静
143,海淀,[海淀]田村兰德华庭｜143㎡｜3室2厅1厨2卫｜南北,74125,距离地铁近 南北通透三居室 交通便利视野好
110,东城,[东城]东花市花市枣苑｜110㎡｜2室2厅1厨2卫｜东,99090,东南全明格局+双卫带明卫+自主设计装修+给换房时间
175.39,朝阳,[朝阳]亚运村小营远洋万和城B区｜175.39㎡｜4室3厅1厨3卫｜南北,91168,远洋万和城 南北四居室 低楼层 采光无遮挡 前后观花园
132.4,朝阳,[朝阳]望京花家地西里三区｜132.4㎡｜3室2厅1厨2卫｜南北,54380,望京花家地西里 6层小板楼 南北3居 双卧客厅朝南
124,东城,[东城]东花市花市枣苑｜124㎡｜3室1厅1厨1卫｜东,95161,崇文花市枣苑！东南两居！有钥匙随时看！居住适宜！带很大阳台！
146.95,东城,[东城]广渠门水上华城｜146.95㎡｜3室2厅1厨2卫｜东南,106158,水上华城，高层，无遮挡，明厨明卫，三室朝南，带储物间
228,海淀,[海淀]公主坟颐源居｜228㎡｜6室3厅1厨2卫｜西南北,86842,复式六居+西南采光+卫浴全明+保养好+全景玉渊潭八一湖
119,东城,[东城]广渠门幸福家园1期｜119㎡｜3室2厅1厨2卫｜南北,115966,幸福家园！次顶层！无遮挡！全天采光！15年环保装修！价可聊
86.68,东城,[东城]广渠门幸福家园2期｜86.68㎡｜2室2厅1厨1卫｜北,83064,幸福家园 有钥匙+婚房装修+接受换房+人车分流+一居价格
167.29,东城,[东城]崇文门法华寺南里｜167.29㎡｜3室1厅1厨2卫｜南北,86675,崇文门 法华寺 南北通透大四居 带电梯 婚房装修 带车位
94.09,大兴,[大兴]亦庄林肯公园｜94.09㎡｜2室1厅1厨1卫｜南北,58986,林肯公园，住宅2居室，南北通透，位置安静无遮挡，低楼层观景
175.72,丰台,[丰台]岳各庄万科紫台｜175.72㎡｜3室2厅1厨2卫｜南北,77964,万科物业 万科紫台 南北通透三居 带保姆间
98,海淀,[海淀]五棵松紫金长安｜98㎡｜2室2厅1厨1卫｜东西,125510,通透两居室 育英 蓝色港湾 小区绿化好 中高层 带大阳台
296.56,海淀,[海淀]世纪城鲁艺上河村｜296.56㎡｜5室2厅1厨3卫｜南北,141623,鲁艺上河村 复式五居 6.2米挑空 位置好 园区环境好
99,西城,[西城]陶然亭中信锦园｜99㎡｜2室2厅1厨1卫｜南北,144444,菜市口 中信锦园 南北方正双线通透两居室 高层 满五年 便利
183.01,朝阳,[朝阳]三元桥UHN国际村｜183.01㎡｜3室2厅1厨2卫｜南,79230,全南复式三居 客厅面宽7.8米 可改四居 采光、观景、私密好
66.21,朝阳,[朝阳]双井富力城C区｜66.21㎡｜1室1厅1厨1卫｜北,103911,高楼层北向+正规一居室+观国贸+视野好+安静不临街
110.17,朝阳,[朝阳]红庙首创禧瑞都｜110.17㎡｜1室1厅1厨1卫｜东,88953,红庙首创禧瑞都东1室
115.73,朝阳,[朝阳]四惠金地名京｜115.73㎡｜2室2厅2卫｜东南,78458,四惠 金地名京 正规大两居 双卫设计 东南向 带洗衣大阳台
102.02,东城,[东城]东花市花市枣苑｜102.02㎡｜2室2厅1厨2卫｜西北,106351,明盘枣苑大两居，两室两厅，带独卫明厨，视野无遮挡，正对花园
289,海淀,[海淀]西北旺万科如园｜289㎡｜4室2厅2厨3卫｜南北,79584,万科如园观景房  一次未住  新风系统  南北双阳台
104,海淀,[海淀]五棵松塞纳维拉永定华庭｜104㎡｜3室2厅1厨2卫｜南北,91346,2012年次新小区 欧式园林建筑风 位置安静宜居
101.69,朝阳,[朝阳]西坝河火星园｜101.69㎡｜2室1厅1厨1卫｜南北,118005,南北2+1保持好+采光好安静+临太阳宫地铁
185,海淀,[海淀]清河橡树湾｜185㎡｜3室2厅1厨2卫｜南北,89189,橡树湾三居出售，面积185平米，南北向，位于16层
129,石景山,[石景山]鲁谷远洋山水北区｜129㎡｜3室2厅1厨2卫｜南北,75193,南北通透 近地铁 前后观花园 交通方便 中层采光好
188,朝阳,[朝阳]朝青润枫水尚｜188㎡｜3室2厅1厨2卫｜南北,78723,润枫水尚东区 高层南北大三居  性价比高
98.32,朝阳,[朝阳]亚运村保利金泉广场｜98.32㎡｜2室1厅1厨1卫｜西北,81366,保利金泉观景两居室 落地大阳台 保持好
93.37,通州,[通州]武夷花园京贸国际城西区｜93.37㎡｜2室1厅1厨1卫｜南西,57941,京贸国际城 西南两居 满五年 高层无遮挡 通州新城
93.08,通州,[通州]武夷花园京贸国际城西区｜93.08㎡｜2室1厅1厨1卫｜西南北,59088,京贸国际城 西南北两居 落地窗 带阳台 保持好 通州新城
371.55,朝阳,[朝阳]中央别墅区长岛澜桥｜371.55㎡｜5室2厅1厨5卫｜南北,72130,装修好，温馨，后边天然氧吧，安静舒适，小区环境好，随时看
273.99,顺义,[顺义]中央别墅区优山美地C区｜273.99㎡｜4室2厅1厨3卫｜南北,58396,优山美地 上悦 四卧南向 双露台 安静不临街
109.43,大兴,[大兴]旧宫德林园｜109.43㎡｜3室2厅1厨2卫｜东西,45599,德林园 全明三居室 商圈成熟 交通便利 旧宫地铁站一公里
306.46,朝阳,[朝阳]中央别墅区泰禾北京院子｜306.46㎡｜5室3厅1厨5卫｜南北,84839,北京院子 有电梯 有调整 增加使用空间  合院产品 上三下二
96.31,丰台,[丰台]成寿寺四方景园二区｜96.31㎡｜2室1厅1厨1卫｜南,55030,方庄带电梯南向大两居+高楼落地窗全天采光+婚房保养好+满五年
78.16,海淀,[海淀]马连洼天秀花园安和园｜78.16㎡｜2室1厅1厨1卫｜南北,79324,园区少见的低楼层小两居 南北通透 采光好 位置安静
125,海淀,[海淀]世纪城晴雪园｜125㎡｜3室2厅1厨2卫｜南北,111840,晴雪园板楼三居，园区正中间位置，明厨双明卫，双卧朝南，采光好
116.18,海淀,[海淀]西北旺百旺茉莉园｜116.18㎡｜2室2厅1厨2卫｜南北,72731,百旺茉莉园一期  全明户型两居室 高楼层 观景房
158,海淀,[海淀]五棵松紫金长安｜158㎡｜3室2厅1厨2卫｜南北,125316,高层，南北通透，前后落地窗，层高3米，餐客厅分离，餐厨一体
93.68,西城,[西城]陶然亭中信锦园｜93.68㎡｜2室2厅1厨1卫｜南北,149231,中信城 南北通透 户型方正 高层 采光好 保养好 无浪费面积
